node_name/road_id,start_lat,start_lng,end_lat,end_lng,length,level, freq_cnt
1276,92,108,89,112,227.04294829269563,secondary,1
1277,62,130,70,122,584.4761301157614,tertiary,1
1278,70,122,70,122,53.630153235817914,tertiary,1
1279,120,52,127,50,404.3778503811766,secondary,1
1280,145,40,145,40,11.466455463698352,primary,1
1281,70,42,67,44,218.9376883052506,tertiary,1
1282,67,44,67,47,154.1516412807905,tertiary,1
1283,56,45,56,45,15.91839170306379,secondary,1
1284,81,61,80,61,28.80295301315377,tertiary,1
1285,54,58,55,56,107.99195116386353,tertiary,1
1286,63,35,65,30,309.7445333713588,secondary,1
1287,65,30,58,28,339.45157780590665,secondary,1
1288,58,28,47,26,601.7053666004053,primary,1
1289,47,26,43,26,177.9757189265167,primary,1
1290,26,70,26,70,22.540692739752625,primary,1
1291,135,105,134,110,290.4738648505676,secondary,1
1292,134,110,133,118,453.4814758033836,secondary,1
1293,157,124,152,148,1402.2179703541537,tertiary,1
1294,74,81,71,86,304.3181771638393,tertiary,1
1295,145,40,147,38,125.2325378642633,primary,1
1296,153,28,156,22,318.0948943793254,primary,1
1297,156,22,156,22,30.21890154639947,secondary,1
1298,156,22,161,23,531.6452016283081,secondary,1
1299,62,1,60,3,107.31273241786535,secondary,1
1300,44,70,45,71,97.92478379427908,tertiary,1
1301,55,78,57,79,120.51581122694172,tertiary,1
1302,29,131,28,132,15.445310625885176,tertiary,1
1303,160,71,159,70,70.41922431709511,secondary,1
1304,157,70,154,67,210.92624033100978,secondary,1
1305,145,64,147,50,804.3495524835298,secondary,1
1306,141,61,130,60,528.7829349035487,secondary,1
1307,153,28,161,29,425.7292494848471,tertiary,1
1308,96,80,96,79,14.00255876487542,primary,1
1309,147,50,145,64,803.6368900094284,secondary,1
1310,136,4,137,10,328.92146225782085,tertiary,1
1311,137,10,130,9,321.7323919244263,secondary,1
1312,130,9,138,22,888.6541667566212,secondary,1
1313,13,44,14,44,20.187125283040935,primary,1
1314,14,44,17,44,184.5168061593529,primary,1
1315,33,40,33,35,299.9904178886397,secondary,1
1316,33,35,33,29,311.10563271319927,secondary,1
1317,33,29,32,26,163.36861973848,secondary,1
1318,32,26,36,19,428.1827393560294,secondary,1
1319,45,5,25,1,1081.2210436120345,secondary,1
1320,44,91,44,91,7.0123955091736345,primary,1
1321,26,70,26,70,15.264798081937798,primary,1
1322,112,93,107,93,236.73470319229082,tertiary,1
1323,108,89,104,87,188.38757793138228,tertiary,1
1324,118,36,118,35,22.76078112632459,secondary,1
1325,153,41,153,41,5.847331148592713,secondary,1
1326,28,67,25,65,177.1048343547785,tertiary,1
1327,26,62,25,65,190.16624787092312,tertiary,1
1328,31,69,33,66,178.80861878415624,tertiary,1
1329,26,97,28,103,346.3167260590495,secondary,1
1330,28,103,30,107,280.1078201318189,secondary,1
1331,133,118,133,118,13.669536018938702,tertiary,1
1332,133,118,128,118,253.95289579922834,tertiary,1
1333,67,33,67,33,10.488542217837741,tertiary,1
1334,67,33,62,42,585.8264992170054,tertiary,1
1335,62,42,60,46,227.22454831520997,tertiary,1
1336,59,48,58,49,68.47050179800428,tertiary,1
1337,38,87,40,81,365.9806284485957,tertiary,1
1338,86,69,76,64,526.1519541765435,tertiary,1
1339,39,104,34,106,244.30110688584037,tertiary,1
1340,63,138,60,130,508.21751384249524,secondary,1
1341,119,139,119,138,12.95064934060653,tertiary,1
1342,75,117,70,122,357.7490034137267,tertiary,1
1343,88,97,96,98,405.43315739062405,tertiary,1
1344,24,73,21,71,174.58317296179806,tertiary,1
1345,127,147,134,142,690.1549338667796,tertiary,1
1346,129,141,131,133,468.14698529503806,secondary,1
1347,131,133,132,123,523.9649850037783,secondary,1
1348,132,123,132,123,12.969500567058427,tertiary,1
1349,133,118,133,118,11.986782867616128,secondary,1
1350,133,118,133,118,13.541476985798145,tertiary,1
1351,135,110,134,110,10.711708239773868,tertiary,1
1352,134,110,135,110,10.711708239773868,tertiary,1
1353,135,110,140,111,295.5689444685907,tertiary,1
1354,112,46,112,53,413.2957096969503,secondary,1
1355,15,119,16,119,29.35508123392208,trunk,1
1356,11,119,12,119,20.617307393779793,trunk,1
1357,16,119,17,119,54.003297852131844,trunk,1
1358,23,117,24,117,47.87466674382713,trunk,1
1359,122,93,126,88,321.70961120817475,primary,1
1360,130,60,130,60,15.445662238085257,secondary,1
1361,119,59,120,55,221.97386546383763,tertiary,1
1362,120,55,120,52,181.95795970297394,tertiary,1
1363,143,101,144,95,369.71333378876625,tertiary,1
1364,117,84,114,81,214.9152061448329,tertiary,1
1365,154,68,154,67,45.23923020290869,secondary,1
1366,65,28,74,24,536.6956332082045,secondary,1
1367,79,10,78,4,355.78421657352624,tertiary,1
1368,94,43,94,42,59.4245612095992,trunk,1
1369,94,34,94,30,224.40163995162624,trunk,1
1370,94,30,94,20,571.4881433480899,trunk,1
1371,94,20,94,16,208.8151735313095,trunk,1
1372,94,16,94,14,142.96656635649694,trunk,1
1373,96,15,96,13,111.8079566242543,tertiary,1
1374,96,13,96,11,98.79768259062021,tertiary,1
1375,97,10,98,10,34.20192049072756,tertiary,1
1376,99,9,100,9,47.36877765520879,tertiary,1
1377,101,9,101,9,11.824318213452527,tertiary,1
1378,19,66,19,66,9.027894441009236,primary,1
1379,53,10,45,5,495.2247538319949,secondary,1
1380,122,86,124,82,258.19118693295377,tertiary,1
1381,126,77,126,75,98.87677240128147,tertiary,1
1382,146,110,146,111,9.944127170969335,trunk,1
1383,56,59,51,56,336.07078403836897,tertiary,1
1384,51,56,49,56,80.19167654871148,tertiary,1
1385,22,70,21,71,66.5107538125034,tertiary,1
1386,21,71,24,73,174.58317296179806,tertiary,1
